id,make,model,year,mileage,listing_price,url
107,Ferrari,458 Speciale Base,2015,4930,799900,https://www.cars.com/vehicledetail/d03e9e34-7452-459f-b73d-cdecc3e1d14e/
108,Ferrari,488 GTB Base,2018,6836,799900,https://www.cars.com/vehicledetail/1f678cd7-5bca-4f7f-a901-335d6c9b5cf8/
109,Ferrari,SF90 Stradale Base,2022,990,799800,https://www.cars.com/vehicledetail/c4d07150-0cc3-4943-81cc-b78585e6b435/
110,Ferrari,SF90 Spider Base,2022,153,799000,https://www.cars.com/vehicledetail/cfb25464-5b6a-4a10-b8aa-2723ee9f50aa/
111,Ferrari,F12berlinetta Base,2014,19755,795990,https://www.cars.com/vehicledetail/bd1912d8-c03f-4120-b3ed-5b1d0f9d8b09/
112,Lamborghini,Aventador SVJ Base,2020,236,789998,https://www.cars.com/vehicledetail/adae1f84-6cc8-43c7-a706-d856af34d3f9/
113,Ferrari,812 GTS Base,2022,241,779900,https://www.cars.com/vehicledetail/78dc1276-ce67-4308-a118-8999b0fedfe5/
114,Ferrari,812 GTS,2022,1711,779000,https://www.cars.com/vehicledetail/b2edbcbf-5655-4c7a-8090-bbb540866f6e/
115,Lamborghini,Aventador SVJ LP 780-4 Ultimae,2022,475,778921,https://www.cars.com/vehicledetail/d9e6001c-9a90-4d36-90e9-08f62da289b6/
116,Ferrari,SF90 Stradale Base,2022,690,769988,https://www.cars.com/vehicledetail/b768e14d-d014-47af-a876-7f0518ce9a36/
117,Ferrari,SF90 Spider Base,2022,937,759900,https://www.cars.com/vehicledetail/2ee08a61-db8d-4e1c-9b5d-57aabb79bcad/
118,Porsche,911 R,2016,4564,749990,https://www.cars.com/vehicledetail/fa2529ed-4750-464d-9b1c-1f063034a497/
119,Mercedes-Benz,SLR McLaren,2006,461,749950,https://www.cars.com/vehicledetail/fa30ff00-972d-4887-b7d9-c62d31c70eab/
120,Lamborghini,Aventador SVJ LP 780-4 Ultimae,2022,265,749900,https://www.cars.com/vehicledetail/868a40c1-888f-4948-b72a-2a3ce8fb4ee6/
121,Lamborghini,Aventador SVJ Base,2019,2895,748880,https://www.cars.com/vehicledetail/105e59aa-166c-4b43-b67c-75dbf0ec2184/
122,Ferrari,SF90 Stradale,2021,384,748000,https://www.cars.com/vehicledetail/9b16e7c2-4947-4606-b61d-3c1b2fb8c43b/
123,Ferrari,488 Pista Spider Base,2020,2016,747990,https://www.cars.com/vehicledetail/92926a67-3053-44ff-94c9-86cc9ee939c8/
124,Ferrari,SF90 Stradale Base,2021,2035,739995,https://www.cars.com/vehicledetail/a2d88014-b1cb-4fa8-aa3c-19a0634ea126/
125,Lamborghini,Aventador SVJ Base,2020,6458,739900,https://www.cars.com/vehicledetail/cd6fcef9-9cb6-4624-b633-be1c835b3c96/
126,Lamborghini,Aventador SVJ Base,2019,6252,739000,https://www.cars.com/vehicledetail/6d210e16-4741-4b52-b446-b7d542ec4c6a/
127,Ferrari,SF90 Stradale,2022,190,736840,https://www.cars.com/vehicledetail/48af8e6b-14b9-4065-b32e-25059af736fd/
128,Ferrari,812 GTS Base,2022,608,730000,https://www.cars.com/vehicledetail/bd963fbe-2025-47b6-ba17-0f24cf308395/
129,Lamborghini,Aventador SVJ LP 780-4 Ultimae,2022,327,729999,https://www.cars.com/vehicledetail/580696af-93a8-40bc-8cfc-bfdaa2144fa1/
130,Ferrari,SF90 Stradale Base,2021,3658,729995,https://www.cars.com/vehicledetail/22400248-daa3-4245-b1db-aba19a9f0465/
131,Ferrari,SF90 Stradale Base,2021,3374,729988,https://www.cars.com/vehicledetail/4db98f2d-05ba-4c44-b64e-992e859021d7/
132,Ferrari,488 Pista Spider Base,2020,3553,729900,https://www.cars.com/vehicledetail/e0685e96-2b8a-47c8-9023-395fa9518c89/
133,Lamborghini,Aventador SVJ Base,2020,5879,729900,https://www.cars.com/vehicledetail/49d44723-6574-4084-979c-7c47d3076848/
134,Ferrari,488 Pista Base,2020,207,729900,https://www.cars.com/vehicledetail/400bdb44-a35f-48ea-8e0b-24c325578000/
135,Ferrari,SF90 Stradale Base,2022,411,729887,https://www.cars.com/vehicledetail/d231812b-e7f8-4c13-814b-0dde4a325163/
136,Ferrari,SF90 Stradale Base,2022,880,729000,https://www.cars.com/vehicledetail/152ce9a9-d5f9-4bbd-92ea-4ccdc2b75b32/
137,Ferrari,SF90 Stradale Base,2021,2107,728995,https://www.cars.com/vehicledetail/34f1b99a-7f0a-4369-bc78-d6e10bd1a9a2/
138,Lamborghini,Aventador SVJ Base,2020,4569,728119,https://www.cars.com/vehicledetail/0a344dec-b58c-4700-8d5f-1b8461cbf9c5/
139,Ferrari,SF90 Stradale Assetto Fiorano,2023,221,727000,https://www.cars.com/vehicledetail/4289ede8-83b7-4aa6-aed4-1bee99ca1953/
140,Ferrari,812 GTS Base,2022,1001,724995,https://www.cars.com/vehicledetail/5a3043da-a551-4b38-9cef-b37c13dc8d4b/
141,Ferrari,SF90 Stradale Base,2022,71,724900,https://www.cars.com/vehicledetail/35ce4f9c-5111-40c2-b319-fb29c97fed45/
142,Ferrari,SF90 Stradale Base,2022,1609,722888,https://www.cars.com/vehicledetail/cd3ea4b9-35fe-4ec7-8120-1c396a7afe3b/
143,Ferrari,488 Pista Spider Base,2020,4414,719995,https://www.cars.com/vehicledetail/7c7d37dc-4310-4dd0-86b9-e71feb11b3c9/
144,Ferrari,812 GTS Base,2022,2493,719900,https://www.cars.com/vehicledetail/8b3dd439-2627-46a1-9d01-8f4dcb896043/
145,Ferrari,812 GTS Base,2022,195,719895,https://www.cars.com/vehicledetail/17183cb5-4441-49de-b1d8-d19933e6c9e7/
146,Ferrari,SF90 Stradale,2021,1055,719000,https://www.cars.com/vehicledetail/79a3acd7-632a-4da7-8f0c-4c8c924a203d/
147,Ferrari,SF90 Stradale,2022,2925,715000,https://www.cars.com/vehicledetail/0702daf7-c4c6-44d2-93d3-eed6d40e9cc7/
148,Ferrari,488 Pista Spider Base,2020,4508,714900,https://www.cars.com/vehicledetail/6eef1b83-392b-4893-93d8-7cc4f1975515/
149,Ferrari,SF90 Stradale Base,2021,1366,714900,https://www.cars.com/vehicledetail/7e0a37fd-1637-442c-a606-5f7f6df91427/
150,Ferrari,488 Pista Base,2019,2114,714895,https://www.cars.com/vehicledetail/33f04a2b-eb06-42d1-8989-929867c04948/
151,Ferrari,SF90 Stradale Base,2021,3105,709995,https://www.cars.com/vehicledetail/8c82ef12-19b5-44bb-badd-0b2aa4c550a9/
152,Ferrari,SF90 Stradale Base,2023,314,709900,https://www.cars.com/vehicledetail/1999a4f4-ddd0-46eb-a576-777ba25e99cc/
153,Lamborghini,Aventador SVJ Base,2019,2550,709895,https://www.cars.com/vehicledetail/ebbb29a0-db14-415b-8523-0fe30dc6e501/
154,Ferrari,SF90 Stradale Base,2021,2039,709000,https://www.cars.com/vehicledetail/9caed0a4-2da2-4e3e-a7b3-7b31c00d694d/
155,Ferrari,SF90 Stradale Base,2023,238,706818,https://www.cars.com/vehicledetail/04dca1fd-3b89-4621-85b1-158f610db913/
156,Mercedes-Benz,Maybach S 680 Base 4MATIC,2023,2516,699999,https://www.cars.com/vehicledetail/5c32d4af-7945-45b7-9209-b3ff432e45ae/
157,Ferrari,SF90 Stradale Base,2021,1238,699999,https://www.cars.com/vehicledetail/01f8144d-2352-4c5d-9e50-c38a32edef9a/
